IMGT subgroup;IMGT gene name;IMGT full name;Fct;Chromosomal localization;R (rearranged);T (Transcribed);Pr (Translated);Positions in the locus;Strain;Clone names;Accession numbers;REF;Positions in the sequence;Secondary accession numbers;Strain;Clone names;Accession numbers;REF;Positions in the sequence
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;RF;;X63173;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;RIII;;X63174;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;SJL;;X63175;[8];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;S73819;[11];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;S77027;[12];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;;;S77041;[12];
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;129/Sv;JH3;AJ851868;[10];1208254-1208301
;IGHJ3*01;IGHJ3*01;;;;;;;;;;;;;C57BL/6J;;AC073553;[13];
;IGHJ3*02;IGHJ3*02;P;;;;;;;JH3;S73821;[11];;;;;;;
IGHJ4;IGHJ4*01;IGHJ4*01;F;12 (58.0 cM);;;;;;J4;V00770;[3];;;;;V00769;[3];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;BALB/c;;J00440;[9];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;;;X53774;[6];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;;;X63166;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;C57BL/6;;M64567;[7];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;A/J;;X63164;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;AKR;;X63165;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;C57BL/10;;X63167;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;C58;;X63168;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;CBA;;X63169;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;CE;;X63170;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;DBA/2;;X63171;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;NZB;;X63172;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;RF;;X63173;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;RIII;;X63174;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;SJL;;X63175;[8];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;;;S77027;[12];
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;129/Sv;JH4;AJ851868;[10];1208820-1208873
;IGHJ4*01;IGHJ4*01;;;;;;;;;;;;;C57BL/6J;;AC073553;[13];
